epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5062,1.57116,4.38433,1.67224,0,0,0,0,1.70431,4.33864,1.97584,2.78e-05,2.78e-05,2.78e-05
2,27.3184,1.41794,4.33079,1.55111,0,0,0,0,1.35216,4.23475,1.61187,6.0295e-05,6.0295e-05,6.0295e-05
3,29.0232,1.20947,4.14816,1.40009,0,0,0,0,1.03447,4.09558,1.24443,9.18464e-05,9.18464e-05,9.18464e-05
4,30.7864,1.12952,4.0393,1.31877,0,0,0,0,1.00907,4.0664,1.2082,0.000122454,0.000122454,0.000122454
5,33.3252,1.02446,3.87403,1.23301,0.11607,0.09583,0.10238,0.07347,0.92892,3.97241,1.11255,0.000152118,0.000152118,0.000152118
6,35.0024,1.04574,3.75371,1.24919,0.13236,0.28333,0.20641,0.14322,0.85832,3.90769,1.03794,0.000180839,0.000180839,0.000180839
7,37.4772,1.00417,3.48929,1.22034,0.06205,0.48333,0.27536,0.18923,0.88503,3.79101,1.04509,0.000208616,0.000208616,0.000208616
8,40.0435,0.98782,3.29717,1.21154,0.06145,0.625,0.37127,0.26859,0.83235,3.59922,1.00095,0.000235449,0.000235449,0.000235449
9,41.7269,0.95062,3.06504,1.20008,0.0693,0.6375,0.46174,0.34903,0.73976,3.49661,0.93589,0.000261339,0.000261339,0.000261339
10,43.3917,0.92471,2.8735,1.17576,0.06501,0.65,0.46319,0.36126,0.72848,3.45787,0.93448,0.000286285,0.000286285,0.000286285
11,45.171,0.93722,2.71042,1.16828,0.06614,0.6625,0.48832,0.40347,0.74212,3.35046,0.93241,0.000310288,0.000310288,0.000310288
12,46.8169,0.98724,2.71512,1.20525,0.07216,0.77083,0.49714,0.39804,0.77381,3.26586,0.96621,0.000333347,0.000333347,0.000333347
13,48.598,0.9457,2.45788,1.17196,0.07385,0.77083,0.52826,0.41161,0.82162,3.19681,1.02829,0.000355462,0.000355462,0.000355462
14,50.5028,0.95985,2.20555,1.19245,0.97843,0.3056,0.59106,0.46713,0.79664,2.94677,0.99879,0.000376634,0.000376634,0.000376634
15,53.0555,0.92867,2.09218,1.17067,0.96942,0.28998,0.60747,0.49354,0.86763,2.71076,1.01761,0.000396862,0.000396862,0.000396862
16,55.0909,0.92969,1.96195,1.14292,0.84093,0.46154,0.67689,0.56615,0.93359,2.2191,1.03205,0.000416146,0.000416146,0.000416146
17,56.7581,0.89439,1.72055,1.12209,0.82638,0.57595,0.72193,0.57996,0.90393,1.95424,1.01406,0.000430185,0.000430185,0.000430185
18,58.407,0.93286,1.72389,1.15327,0.84565,0.62084,0.82527,0.59759,0.97033,1.76726,1.05193,0.000422322,0.000422322,0.000422322
19,59.9837,0.8893,1.60378,1.1329,0.84929,0.58017,0.80848,0.61589,0.9765,1.59261,1.08871,0.000414458,0.000414458,0.000414458
