epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6194,1.49443,3.48904,4.39729,1.58366,0,0,0,0,0,0,0,0,0,1.89962,3.45399,4.36788,2.09422,0,2.78e-05,2.78e-05,2.78e-05
2,30.3382,1.32742,2.85077,4.33719,1.4609,0,0,0,0,0,0,0,0,0,1.30595,2.30465,4.08897,1.44957,0,6.05545e-05,6.05545e-05,6.05545e-05
3,32.7784,1.04745,2.21569,4.09712,1.226,0,0,0,0,0,0,0,0,0,1.02151,1.80352,3.9722,1.15281,0,9.26485e-05,9.26485e-05,9.26485e-05
4,35.2955,0.98736,1.89501,4.00096,1.15052,0,0,0,0,0,0,0,0,0,0.98093,1.67148,3.92661,1.08966,0,0.000124082,0.000124082,0.000124082
5,37.8833,0.87196,1.61077,3.83498,1.07355,0,0.125,0.075,0.1,0.06581,0.125,0.075,0.1,0.06581,0.89776,1.63635,3.89236,1.02196,0,0.000154855,0.000154855,0.000154855
6,40.5598,0.8799,1.64328,3.74394,1.06281,0,0.2928,0.30833,0.34971,0.27843,0.2928,0.30833,0.34971,0.26699,0.78816,1.55159,3.80125,0.98561,0,0.000184967,0.000184967,0.000184967
7,44.305,0.8498,1.51198,3.53245,1.05217,0,0.17666,0.61667,0.45466,0.35724,0.17666,0.61667,0.45466,0.36131,0.82804,1.43369,3.74182,1.00238,0,0.000214419,0.000214419,0.000214419
8,46.7612,0.83918,1.34944,3.3499,1.05371,0,0.10358,0.67083,0.51397,0.39488,0.10358,0.67083,0.51397,0.41351,0.79914,1.38388,3.68743,0.94948,0,0.000243211,0.000243211,0.000243211
9,49.3592,0.81538,1.32854,3.14882,1.02912,0,0.07808,0.67083,0.5357,0.42389,0.07808,0.67083,0.5357,0.46231,0.811,1.28369,3.49716,0.98269,0,0.000271341,0.000271341,0.000271341
10,51.9167,0.84781,1.32384,3.00114,1.05014,0,0.07008,0.69583,0.50022,0.38707,0.07008,0.69583,0.50022,0.41903,0.87321,1.17766,3.45672,0.98731,0,0.000298812,0.000298812,0.000298812
