epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8459,1.44576,3.29626,4.78754,1.63796,0,0.83811,0.21429,0.18318,0.1299,0.83811,0.21429,0.17573,0.1173,1.08973,2.10633,6.70204,1.48097,0,0.00010766,0.00010766,0.00010766
2,45.1898,1.02812,2.0663,2.75268,1.25771,0,0.45788,0.33735,0.31583,0.24437,0.45788,0.33735,0.31551,0.20851,1.05632,2.86964,3.43247,1.39487,0,0.000221538,0.000221538,0.000221538
3,53.4172,1.0463,1.90039,2.2646,1.23872,0,0.17745,0.49915,0.32493,0.20463,0.43099,0.32143,0.29333,0.18496,1.19353,2.73781,5.02576,1.44209,0,0.000333894,0.000333894,0.000333894
4,62.871,1.06702,1.78132,2.01239,1.22745,0,0.55068,0.53907,0.40162,0.25823,0.55068,0.53907,0.40818,0.21579,1.21858,2.95495,2.67053,1.54089,0,0.000444727,0.000444727,0.000444727
5,71.4552,1.02117,1.7941,1.87242,1.19354,0,0.48531,0.28619,0.26699,0.13392,0.5174,0.30296,0.28969,0.17166,1.5326,3.38514,2.90137,1.85646,0,0.000554037,0.000554037,0.000554037
6,81.7657,1.04307,1.85206,1.8175,1.20083,0,0.53189,0.35516,0.29773,0.18637,0.53287,0.35148,0.27058,0.11647,1.50395,4.14215,2.70028,1.66264,0,0.000661824,0.000661824,0.000661824
7,89.9723,1.01277,1.7641,1.56725,1.16744,0,0.26822,0.18336,0.1424,0.09727,0.26822,0.18336,0.13911,0.09366,1.63635,3.36561,3.04701,1.8265,0,0.000738548,0.000738548,0.000738548
8,99.9492,1.02988,1.80636,1.61477,1.18889,0,0.56416,0.24751,0.36799,0.2297,0.56416,0.24751,0.36799,0.23354,1.52169,2.99329,2.50996,1.76101,0,0.000733472,0.000733472,0.000733472
9,109.038,0.98731,1.7603,1.56881,1.16631,0,0.23085,0.43332,0.32559,0.19539,0.23085,0.43332,0.29159,0.12575,1.35948,4.86476,2.7266,1.59219,0,0.000728397,0.000728397,0.000728397
10,116.659,1.0148,1.74596,1.4958,1.19148,0,0.52011,0.45,0.32301,0.21022,0.52011,0.45,0.32497,0.17229,1.19405,3.10791,2.51256,1.43761,0,0.000723321,0.000723321,0.000723321
11,125.732,0.95529,1.65506,1.35387,1.14583,0,0.42304,0.62917,0.4985,0.31274,0.41196,0.6006,0.47477,0.25142,1.29683,2.96946,2.00851,1.50784,0,0.000718246,0.000718246,0.000718246
12,133.349,0.96675,1.61524,1.35901,1.14285,0,0.26871,0.56429,0.38196,0.21097,0.26871,0.56429,0.38196,0.21336,1.32336,2.54119,2.27159,1.47159,0,0.000713171,0.000713171,0.000713171
13,142.535,0.96882,1.63195,1.37937,1.1451,0,0.38857,0.50726,0.47759,0.32486,0.44101,0.46429,0.49284,0.26558,1.41108,2.87834,3.09571,1.58968,0,0.000708095,0.000708095,0.000708095
14,152.251,0.96548,1.6534,1.35386,1.14514,0,0.11457,0.3612,0.14428,0.07129,0.10681,0.13571,0.08559,0.03171,1.73071,6.08587,3.62945,1.89858,0,0.00070302,0.00070302,0.00070302
15,160.705,0.98969,1.63862,1.26033,1.16179,0,0.50167,0.63553,0.57955,0.39241,0.50167,0.63553,0.57955,0.40086,1.23436,2.14946,2.54698,1.49777,0,0.000697944,0.000697944,0.000697944
16,169.846,0.97148,1.64487,1.34877,1.14889,0,0.6233,0.42834,0.54156,0.36699,0.6233,0.42834,0.53916,0.4005,1.29889,2.37474,2.15284,1.49653,0,0.000692869,0.000692869,0.000692869
17,177.62,0.89285,1.48179,1.21485,1.118,0,0.23219,0.52847,0.40085,0.24686,0.20932,0.49758,0.34323,0.23235,1.23206,3.02094,2.67775,1.42739,0,0.000687794,0.000687794,0.000687794
18,188.589,0.89608,1.54127,1.21262,1.11435,0,0.49419,0.45,0.42512,0.3151,0.46339,0.51429,0.43218,0.30944,1.13966,2.14704,2.2691,1.36227,0,0.000682718,0.000682718,0.000682718
