epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0561,1.52577,3.54487,5.07496,1.70039,0,0.0089,0.05556,0.04752,0.02624,0.0089,0.05556,0.04752,0.02945,1.28002,2.12948,3.89484,1.6484,0,7.69e-05,7.69e-05,7.69e-05
2,39.2774,1.12578,2.26515,3.1643,1.36572,0,0.7288,0.38889,0.27909,0.19135,0.7288,0.38889,0.27935,0.1941,1.19837,2.09996,3.9347,1.40802,0,0.000159891,0.000159891,0.000159891
3,45.1108,1.11824,2.12212,2.56445,1.3239,0,0.26933,0.61111,0.39011,0.25317,0.26933,0.61111,0.39144,0.25323,1.21929,2.29239,2.65903,1.3974,0,0.000241208,0.000241208,0.000241208
4,51.2151,1.03049,1.93638,2.16417,1.19472,0,0.53193,0.59071,0.59993,0.35019,0.49486,0.54501,0.50189,0.28803,1.3823,3.06755,2.5328,1.59903,0,0.000320849,0.000320849,0.000320849
5,57.7894,1.02789,1.89855,1.9053,1.19604,0,0.80218,0.22222,0.43283,0.2539,0.37075,0.51501,0.44993,0.29003,1.42086,2.43563,2.62884,1.49371,0,0.000398816,0.000398816,0.000398816
6,63.6341,1.03107,1.86336,1.84987,1.1922,0,0.76704,0.38889,0.51276,0.34441,0.76704,0.38889,0.50642,0.29127,1.3857,2.8428,2.20166,1.5364,0,0.000475107,0.000475107,0.000475107
7,70.7448,1.0385,1.8435,1.6948,1.20106,0,0.28457,0.59722,0.51038,0.29222,0.25333,0.54167,0.43597,0.25196,1.48465,3.45173,2.7765,1.70146,0,0.000549724,0.000549724,0.000549724
8,76.4284,1.04995,1.86087,1.65797,1.21232,0,0.47508,0.54167,0.39238,0.2443,0.43371,0.43056,0.31889,0.14474,1.52603,4.54217,2.72709,1.7583,0,0.000622666,0.000622666,0.000622666
9,82.7498,1.0872,1.87575,1.63597,1.23155,0,0.51237,0.48483,0.38335,0.23893,0.49496,0.42961,0.36824,0.13814,1.68965,3.63846,3.04209,1.91584,0,0.000693933,0.000693933,0.000693933
10,89.3225,1.01951,1.66462,1.46701,1.16953,0,0.71252,0.36111,0.44129,0.2929,0.71252,0.36111,0.42296,0.25849,1.46947,2.6753,2.61424,1.84366,0,0.000700482,0.000700482,0.000700482
11,95.0739,1.00207,1.71442,1.43911,1.16354,0,0.55156,0.35355,0.41356,0.297,0.55156,0.35355,0.39509,0.24167,1.26093,3.17603,2.39934,1.49113,0,0.000692869,0.000692869,0.000692869
12,102.054,1.00514,1.61897,1.34921,1.17625,0,0.50532,0.61823,0.53168,0.33068,0.52556,0.67201,0.54648,0.33735,1.53114,2.86945,2.00927,1.81084,0,0.000685256,0.000685256,0.000685256
13,107.653,0.95567,1.74218,1.2884,1.14862,0,0.65642,0.54696,0.58028,0.36851,0.65642,0.54696,0.58028,0.35793,1.37344,2.50951,1.89377,1.55916,0,0.000677643,0.000677643,0.000677643
14,114.535,0.99636,1.71701,1.29217,1.16008,0,0.28359,0.41667,0.3898,0.24721,0.28359,0.41667,0.39371,0.266,1.33425,2.41038,2.33174,1.44911,0,0.00067003,0.00067003,0.00067003
15,120.771,0.98525,1.63237,1.23312,1.14882,0,0.5924,0.46889,0.43487,0.33627,0.5924,0.46889,0.42723,0.29348,1.07214,2.56039,2.27115,1.33185,0,0.000662417,0.000662417,0.000662417
16,127.873,0.92232,1.60924,1.12723,1.1225,0,0.38915,0.50945,0.46118,0.35269,0.38915,0.50945,0.46118,0.31654,1.10766,2.49506,2.13049,1.31267,0,0.000654804,0.000654804,0.000654804
