epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4887,1.45096,3.49343,4.48375,1.56933,0,0,0,0,0,0,0,0,0,1.59504,2.78732,4.41911,1.84685,0,4.5e-05,4.5e-05,4.5e-05
2,33.6086,1.14105,2.38244,4.24486,1.29547,0,0,0,0,0,0,0,0,0,1.03638,1.89103,4.02695,1.14881,0,9.40595e-05,9.40595e-05,9.40595e-05
3,39.2197,1.00018,2.04394,4.0232,1.15544,0,0,0,0,0,0,0,0,0,0.98122,1.93437,3.98265,1.0544,0,0.000142129,0.000142129,0.000142129
4,43.4058,0.94809,1.84273,3.83134,1.12484,0,0.17045,0.14167,0.14602,0.11004,0.17045,0.14167,0.14602,0.11545,0.86122,1.60916,3.89822,1.05058,0,0.000189208,0.000189208,0.000189208
5,47.4317,0.8954,1.67638,3.62807,1.07358,0,0.17555,0.50833,0.34993,0.29103,0.17188,0.4875,0.3479,0.29477,0.8045,1.44181,3.76275,0.97027,0,0.000235298,0.000235298,0.000235298
6,52.9599,0.92719,1.62522,3.35929,1.10207,0,0.11621,0.67083,0.41033,0.33808,0.11621,0.67083,0.41033,0.34236,0.80058,1.36191,3.61264,0.91628,0,0.000280398,0.000280398,0.000280398
7,57.0582,0.94471,1.5162,3.14427,1.09207,0,0.10067,0.64167,0.42235,0.32542,0.10067,0.64167,0.42235,0.34124,0.81982,1.24229,3.50412,0.98187,0,0.000324507,0.000324507,0.000324507
8,60.9315,0.93344,1.52108,2.86832,1.10196,0,0.09825,0.66667,0.47879,0.40365,0.09825,0.66667,0.47879,0.38839,0.80004,1.24459,3.3373,0.93693,0,0.000367627,0.000367627,0.000367627
9,66.3717,0.92664,1.42875,2.59276,1.09499,0,0.38065,0.67695,0.57414,0.46567,0.38065,0.67695,0.57414,0.47747,0.78431,1.05977,2.82614,0.94169,0,0.000409756,0.000409756,0.000409756
10,71.1254,0.91751,1.39844,2.52166,1.08925,0,0.83171,0.40417,0.63166,0.51689,0.83171,0.40417,0.63166,0.52626,0.86386,1.08571,2.19783,0.9841,0,0.000450895,0.000450895,0.000450895
11,75.7995,0.99983,1.47194,2.25525,1.10367,0,0.71462,0.49242,0.64166,0.52098,0.72429,0.50982,0.65416,0.52399,0.96403,1.19377,2.10931,1.04722,0,0.0004505,0.0004505,0.0004505
12,81.1426,0.92036,1.38059,2.12046,1.06627,0,0.80143,0.636,0.70851,0.5845,0.81718,0.66013,0.72227,0.56244,0.93641,1.2397,1.73736,1.14604,0,0.00044555,0.00044555,0.00044555
13,85.3637,0.90408,1.3349,1.93439,1.0532,0,0.7381,0.68127,0.74808,0.61393,0.7381,0.68127,0.74808,0.62125,0.86052,1.05949,1.45399,1.00121,0,0.0004406,0.0004406,0.0004406
14,89.4543,0.90408,1.37425,1.97657,1.0804,0,0.76404,0.67062,0.84022,0.67555,0.76404,0.67062,0.84022,0.71942,0.88688,1.03246,1.50224,0.9763,0,0.00043565,0.00043565,0.00043565
15,93.9139,0.86204,1.31166,1.76468,1.04525,0,0.76755,0.6938,0.79031,0.65544,0.76755,0.6938,0.79031,0.65712,0.77133,1.10355,1.32091,0.98372,0,0.0004307,0.0004307,0.0004307
16,98.8628,0.83376,1.23307,1.70535,1.03748,0,0.86376,0.67334,0.88993,0.73564,0.86376,0.67334,0.88993,0.65247,0.81129,1.09139,1.06092,1.00169,0,0.00042575,0.00042575,0.00042575
17,102.95,0.82642,1.20488,1.63576,1.02647,0,0.80706,0.70985,0.88832,0.71564,0.80706,0.70985,0.88832,0.73247,0.79221,0.93162,1.09019,0.98274,0,0.0004208,0.0004208,0.0004208
18,107.174,0.81353,1.19269,1.50446,1.01853,0,0.91815,0.68722,0.83421,0.67978,0.91815,0.68722,0.83421,0.69826,0.81458,0.9928,1.18195,0.96802,0,0.00041585,0.00041585,0.00041585
19,112.589,0.81528,1.16733,1.47546,1.01786,0,0.88191,0.68424,0.8302,0.6615,0.88191,0.68424,0.8302,0.69825,0.78079,0.94218,1.09848,1.0218,0,0.0004109,0.0004109,0.0004109
20,116.798,0.79689,1.21749,1.44535,1.01647,0,0.80562,0.70037,0.89485,0.66369,0.80562,0.70037,0.89485,0.7242,0.78015,0.95118,1.26452,0.99853,0,0.00040595,0.00040595,0.00040595
21,120.48,0.78085,1.15815,1.42039,1.00611,0,0.7851,0.70214,0.8874,0.69444,0.7851,0.70214,0.8874,0.7157,0.78176,1.02882,1.34729,0.97181,0,0.000401,0.000401,0.000401
22,126.029,0.81044,1.20313,1.41489,1.02842,0,0.91681,0.70868,0.91947,0.70885,0.91681,0.70868,0.91947,0.76041,0.8263,1.05615,1.14235,0.97266,0,0.00039605,0.00039605,0.00039605
